fix_name,latitude,longitude
4244N,42.0,-44.0
4245N,42.0,-45.0
4246N,42.0,-46.0
4247N,42.0,-47.0
4248N,42.0,-48.0
4249N,42.0,-49.0
4250N,42.0,-50.0
4251N,42.0,-51.0
4252N,42.0,-52.0
4253N,42.0,-53.0
4254N,42.0,-54.0
4255N,42.0,-55.0
4256N,42.0,-56.0
4257N,42.0,-57.0
4258N,42.0,-58.0
4259N,42.0,-59.0
4260N,42.0,-60.0
4261N,42.0,-61.0
4262N,42.0,-62.0
4263N,42.0,-63.0
4264N,42.0,-64.0
4265N,42.0,-65.0
4266N,42.0,-66.0
4267N,42.0,-67.0
4268N,42.0,-68.0
4269N,42.0,-69.0
4270N,42.0,-70.0
4271N,42.0,-71.0
4272N,42.0,-72.0
4273N,42.0,-73.0
4274N,42.0,-74.0
4275N,42.0,-75.0
4276N,42.0,-76.0
4277N,42.0,-77.0
4278N,42.0,-78.0
4279N,42.0,-79.0
4280N,42.0,-80.0
42DME,65.212389,-14.480997
42LOC,47.081567,-1.665186
42TAC,53.276656,-60.508553
42THR,40.592933,-3.575194
4300E,43.0,0.0
4300N,43.0,0.0
4301N,43.0,-1.0
4302N,43.0,-2.0
4303N,43.0,-3.0
4304N,43.0,-4.0
4305N,43.0,-5.0
4306N,43.0,-6.0
4307N,43.0,-7.0
4308N,43.0,-8.0
4309N,43.0,-9.0
4310N,43.0,-10.0
4311N,43.0,-11.0
4312N,43.0,-12.0
4313N,43.0,-13.0
4314N,43.0,-14.0
4315N,43.0,-15.0
4316N,43.0,-16.0
4317N,43.0,-17.0
4318N,43.0,-18.0
4319N,43.0,-19.0
4320N,43.0,-20.0
4321N,43.0,-21.0
4322N,43.0,-22.0
4323N,43.0,-23.0
4324N,43.0,-24.0
4325N,43.0,-25.0
4326N,43.0,-26.0
4327N,43.0,-27.0
4328N,43.0,-28.0
4329N,43.0,-29.0
4330N,43.0,-30.0
4331N,43.0,-31.0
4332N,43.0,-32.0
4333N,43.0,-33.0
4334N,43.0,-34.0
4335N,43.0,-35.0
4336N,43.0,-36.0
4337N,43.0,-37.0
4338N,43.0,-38.0
4339N,43.0,-39.0
4340N,43.0,-40.0
